Site,SO1,SO2,SO3,SO4,R,C,Kud,Imp,Hum,AllPrey,Bound,Post
257_01,0,0,1,1,2.77,0.31,1.00,0.76,0.47,0.64,21.06,21.40
257_02,0,0,0,0,1.54,0.56,1.00,0.67,0.47,0.62,21.52,23.02
257_03,0,1,1,1,0.47,0.58,1.00,0.55,0.47,0.61,21.20,24.44
257_04,1,0,0,0,0.53,0.64,1.00,0.53,0.48,0.60,22.00,26.14
257_05,0,0,0,0,1.70,0.86,0.99,0.22,0.45,0.58,23.23,27.72
257_06,0,0,0,1,1.91,0.91,0.98,0.08,0.44,0.58,24.48,29.44
257_07,0,0,1,1,1.03,0.71,0.99,0.15,0.46,0.60,25.39,31.31
257_08,1,1,1,0,1.12,0.79,0.99,0.10,0.45,0.60,26.75,32.57
258_01,0,0,0,0,0.35,0.77,0.99,0.71,0.47,0.65,17.09,15.59
258_02,0,0,0,0,0.21,0.52,1.00,0.78,0.47,0.65,18.34,17.13
258_03,0,0,0,0,0.83,0.19,1.00,0.80,0.48,0.65,19.12,18.40
258_04,0,0,0,0,1.83,0.44,1.00,0.78,0.48,0.64,20.18,19.92
259_01,0,0,0,0,0.71,0.51,0.96,0.46,0.24,0.62,25.99,27.44
259_02,0,0,0,0,1.02,0.83,0.91,0.32,0.23,0.57,24.19,25.60
259_03,1,0,0,0,2.76,0.94,0.91,0.30,0.23,0.56,22.28,23.74
259_04,1,1,1,1,3.29,0.81,0.92,0.43,0.24,0.60,20.73,21.90
259_05,1,0,0,0,1.56,0.59,0.99,0.45,0.45,0.62,19.20,20.06
259_06,0,0,1,1,0.46,0.04,1.00,0.75,0.48,0.65,17.93,18.37
259_07,0,0,0,0,1.71,0.06,1.00,0.72,0.47,0.62,17.35,16.98
259_08,0,0,0,0,1.40,0.19,1.00,0.74,0.47,0.62,17.02,15.81
259_09,0,0,0,0,0.45,0.07,1.00,0.77,0.47,0.63,16.18,14.44
276_01,1,0,1,1,2.47,0.45,1.00,0.76,0.48,0.61,2.57,0.95
276_02,1,0,0,0,2.43,0.10,1.00,0.76,0.49,0.61,2.90,2.77
276_03,0,0,0,0,1.35,0.13,1.00,0.78,0.50,0.62,2.85,4.41
276_04,0,0,0,0,1.89,0.24,1.00,0.78,0.51,0.62,3.06,6.23
276_05,0,0,0,0,2.18,0.09,0.99,0.53,0.55,0.57,3.67,8.03
276_06,0,0,0,0,1.59,0.02,0.99,0.57,0.55,0.58,4.97,9.71
276_07,0,0,0,0,0.58,0.02,0.99,0.70,0.55,0.61,6.16,11.54
276_08,0,0,0,0,1.33,0.01,1.00,0.79,0.53,0.62,7.66,13.27
363_01,0,0,0,0,4.89,0.81,0.98,0.09,0.52,0.61,1.54,16.87
363_02,0,0,0,0,5.40,0.85,0.98,0.08,0.50,0.61,3.47,17.10
363_03,0,0,0,0,4.98,0.95,0.98,0.06,0.50,0.59,4.65,18.05
363_04,0,0,0,0,3.61,0.69,0.99,0.11,0.52,0.61,5.43,18.83
363_05,0,0,0,0,2.76,0.69,0.99,0.13,0.52,0.60,6.22,18.46
363_06,0,0,1,1,2.09,0.65,0.99,0.17,0.54,0.60,5.53,18.62
363_07,0,0,0,0,1.75,0.67,0.98,0.13,0.54,0.60,3.96,18.32
363_08,0,0,0,0,0.61,0.27,0.99,0.35,0.58,0.64,2.25,17.00
363_10,0,0,0,0,0.35,0.21,0.98,0.46,0.58,0.69,2.29,15.77
363_11,0,0,0,.,0.98,0.32,0.97,0.59,0.60,0.77,3.44,15.09
363_12,0,0,0,0,4.53,0.84,0.99,0.06,0.50,0.62,3.68,16.19
363_13,0,0,0,0,2.70,0.55,0.99,0.19,0.52,0.63,4.37,14.68
363_14,0,0,0,0,1.87,0.35,0.99,0.24,0.50,0.64,5.74,14.05
372_01,1,0,.,.,0.94,0.74,0.73,0.07,0.76,0.37,0.13,23.94
372_02,0,0,0,0,1.02,0.60,0.70,0.09,0.77,0.37,0.16,25.11
372_03,0,0,0,0,0.63,0.13,0.81,0.23,0.80,0.40,0.19,26.72
372_04,0,0,0,0,0.54,0.16,0.77,0.25,0.82,0.39,0.22,28.38
372_05,1,1,1,1,0.80,0.14,0.81,0.24,0.82,0.41,0.25,30.06
372_06,1,.,.,.,0.60,0.04,0.84,0.32,0.83,0.45,0.25,31.13
372_07,0,0,0,0,0.22,0.05,0.99,0.46,0.70,0.72,1.08,32.09
372_08,1,1,0,0,0.14,0.22,0.99,0.40,0.70,0.70,2.13,33.31
372_09,0,0,.,.,0.13,0.33,0.99,0.34,0.70,0.69,2.57,34.07
372_10,1,1,1,0,0.26,0.11,0.99,0.39,0.69,0.71,3.76,34.12
372_11,0,0,0,.,0.17,0.07,0.99,0.42,0.70,0.70,4.62,34.80
373_01,1,0,0,1,2.77,0.53,0.89,0.10,0.82,0.42,0.21,35.42
373_02,0,1,1,1,3.85,0.34,0.92,0.11,0.83,0.42,0.20,37.21
373_03,1,0,0,0,3.39,0.52,0.89,0.16,0.85,0.41,0.16,38.99
373_04,0,0,0,0,1.72,0.42,0.87,0.19,0.86,0.41,0.13,40.75
373_05,0,0,0,0,0.49,0.31,0.78,0.20,0.87,0.39,0.13,42.45
373_06,0,0,0,0,1.52,0.35,0.76,0.21,0.88,0.38,0.11,44.16
373_07,0,0,.,.,2.26,0.27,0.98,0.36,0.80,0.59,0.37,44.92
378_01,0,0,0,1,0.36,0.33,0.99,0.31,0.47,0.65,5.00,7.28
378_02,1,0,1,0,0.16,0.06,0.99,0.41,0.48,0.67,6.22,9.19
378_03,0,0,0,1,0.38,0.19,0.99,0.33,0.48,0.65,7.37,11.02
378_04,0,1,1,1,0.72,0.46,0.99,0.20,0.48,0.63,7.78,12.72
378_05,1,1,.,.,0.88,0.74,0.98,0.11,0.47,0.61,7.95,13.96
378_06,1,0,0,0,0.70,0.72,0.98,0.13,0.48,0.62,8.45,15.39
378_07,0,1,.,.,0.24,0.48,0.99,0.20,0.50,0.65,8.94,16.76
378_08,0,0,0,0,0.87,0.47,0.99,0.18,0.50,0.64,9.71,18.05
378_09,0,0,0,0,1.42,0.28,0.99,0.24,0.51,0.64,10.49,19.85
380_01,0,0,0,0,0.40,0.36,0.99,0.21,0.50,0.63,15.99,23.15
380_02,0,0,.,.,1.38,0.22,0.99,0.25,0.51,0.63,15.49,24.50
380_03,0,0,0,0,1.81,0.18,1.00,0.27,0.53,0.64,14.50,25.82
380_04,0,0,0,0,0.56,0.20,1.00,0.24,0.55,0.65,13.53,27.66
380_05,0,0,0,0,0.34,0.35,0.99,0.24,0.58,0.63,12.70,29.59
380_06,0,1,1,0,1.38,0.56,1.00,0.14,0.57,0.62,12.72,31.28
380_07,0,1,1,1,2.30,0.54,0.99,0.15,0.58,0.62,13.37,32.87
380_08,1,1,1,1,0.92,0.39,0.99,0.23,0.60,0.63,13.89,34.57
380_09,0,0,0,0,1.27,0.35,0.99,0.19,0.60,0.63,14.36,36.31
380_10,0,0,0,0,1.39,0.31,0.99,0.25,0.63,0.63,14.76,38.11
380_11,0,0,.,.,1.10,0.50,0.99,0.21,0.63,0.63,15.05,39.46
380_12,0,0,0,0,0.20,0.24,0.99,0.34,0.66,0.67,13.25,38.55
380_13,0,0,0,0,0.22,0.34,0.99,0.30,0.65,0.66,12.20,37.61
380_14,0,0,0,0,0.39,0.78,0.98,0.15,0.63,0.63,11.02,36.82
380_15,0,0,0,0,0.24,0.61,0.99,0.16,0.65,0.64,9.67,36.41
381_01,0,0,0,1,2.98,0.34,0.72,0.11,0.89,0.35,0.12,46.13
381_02,0,0,0,0,2.16,0.31,0.74,0.12,0.89,0.36,0.14,44.57
381_03,0,0,0,0,0.70,0.40,0.85,0.15,0.86,0.40,0.17,42.88
381_04,0,0,0,0,1.12,0.32,0.99,0.28,0.65,0.65,15.47,40.80
381_05,0,0,.,.,0.78,0.26,0.99,0.36,0.66,0.67,15.48,42.10
381_06,0,0,0,0,0.21,0.34,0.99,0.26,0.67,0.66,14.91,43.12
381_07,0,0,0,0,0.27,0.21,0.99,0.31,0.66,0.68,14.70,41.92
381_08,0,0,0,0,0.30,0.34,0.99,0.30,0.66,0.67,14.52,40.53
381_09,0,0,.,.,0.17,0.21,0.99,0.35,0.65,0.68,13.94,39.61
381_10,0,0,0,0,2.45,0.33,0.99,0.31,0.80,0.61,0.92,46.56
381_11,0,1,1,0,1.79,0.13,1.00,0.34,0.77,0.66,2.41,46.25
381_12,0,0,.,.,2.45,0.21,0.99,0.30,0.76,0.65,2.92,45.51
381_13,0,0,.,.,1.88,0.16,0.99,0.38,0.77,0.66,3.24,45.98
