Site,SO1,SO2,SO3,SO4,R,C,Buff,Zeb,Sbl,Kud,Imp,AllPrey,Hum,Bound,Post
244_07,0,0,.,.,-0.92,-0.95,-0.81,0.68,-0.35,0.97,0.76,0.47,1.84,-1.37,0.49
245_01,0,0,0,0,-0.40,0.27,-0.69,-0.84,0.34,0.97,-0.34,-0.34,1.84,-1.22,0.78
245_02,0,0,1,1,-0.54,-0.17,-0.52,-0.67,0.29,0.97,-0.13,-0.07,1.94,-1.30,0.75
245_03,0,1,0,0,-0.81,-0.14,-0.10,-0.42,0.18,0.97,0.16,0.20,2.03,-1.38,0.74
245_04,0,0,0,0,-0.70,1.19,-0.69,-0.50,0.29,0.97,-0.16,-0.21,2.03,-1.42,0.76
245_05,1,1,0,0,-0.71,-0.80,-0.99,-0.76,0.39,0.88,-0.37,-0.61,2.18,-1.44,0.80
245_06,0,0,0,0,0.21,0.01,-3.06,-3.62,-2.05,-3.75,-1.29,-5.76,-1.42,-1.42,0.89
245_07,0,0,0,0,-0.48,-1.21,-3.18,-3.71,-2.84,-4.64,-0.55,-6.17,-1.42,-1.36,0.98
245_08,0,0,.,.,-0.81,-1.21,-3.06,-3.62,-2.84,-6.95,-1.36,-7.53,-1.42,-1.32,1.01
257_01,0,0,1,1,1.39,-0.51,-0.93,-1.43,-0.51,0.97,0.97,-0.07,0.84,-0.45,-0.23
257_02,0,1,1,1,0.30,0.42,-1.17,-1.52,-0.30,0.97,0.65,-0.34,0.84,-0.43,-0.11
257_03,1,0,0,1,-0.64,0.49,-1.11,-1.52,-0.03,0.97,0.23,-0.48,0.84,-0.44,-0.01
257_04,0,0,0,0,-0.59,0.71,-1.23,-1.60,0.02,0.97,0.16,-0.61,0.88,-0.40,0.11
257_05,0,0,0,0,0.44,1.52,-1.23,-1.60,0.87,0.88,-0.94,-0.89,0.74,-0.35,0.23
257_06,0,0,0,0,0.63,1.71,-1.05,-1.43,1.51,0.79,-1.43,-0.89,0.69,-0.28,0.35
257_07,0,0,0,0,-0.15,0.97,-0.75,-1.35,1.35,0.88,-1.19,-0.61,0.79,-0.24,0.48
257_08,0,0,0,0,-0.07,1.26,-0.64,-1.35,1.45,0.88,-1.36,-0.61,0.74,-0.17,0.57
258_01,0,0,0,0,-0.75,1.19,-0.40,-1.35,-0.30,0.88,0.79,0.06,0.84,-0.64,-0.64
258_02,0,0,1,0,-0.87,0.27,-0.58,-1.43,-0.56,0.97,1.04,0.06,0.84,-0.58,-0.53
258_03,0,1,0,0,-0.33,-0.95,-0.64,-1.43,-0.61,0.97,1.11,0.06,0.88,-0.54,-0.44
258_04,0,0,0,1,0.56,-0.03,-0.75,-1.43,-0.56,0.97,1.04,-0.07,0.88,-0.49,-0.33
259_01,0,0,0,0,-0.43,0.23,-0.58,-0.08,-0.46,0.62,-0.09,-0.34,-0.27,-0.21,0.21
259_02,0,0,0,0,-0.16,1.41,-1.23,-0.42,-0.19,0.17,-0.59,-1.02,-0.31,-0.30,0.07
259_03,0,0,0,0,1.38,1.82,-1.46,-0.50,-0.19,0.17,-0.66,-1.16,-0.31,-0.39,-0.06
259_04,0,0,0,0,1.85,1.34,-0.87,-0.17,-0.40,0.26,-0.20,-0.61,-0.27,-0.47,-0.19
259_05,0,1,1,1,0.32,0.53,-0.46,-1.01,0.02,0.88,-0.13,-0.34,0.74,-0.54,-0.32
259_06,1,0,0,0,-0.65,-1.50,-0.52,-1.60,-0.46,0.97,0.93,0.06,0.88,-0.60,-0.45
259_07,0,0,0,0,0.45,-1.43,-1.11,-1.85,-0.46,0.97,0.83,-0.34,0.84,-0.63,-0.54
259_08,0,0,0,0,0.18,-0.95,-1.05,-1.77,-0.51,0.97,0.90,-0.34,0.84,-0.64,-0.63
259_09,0,0,0,0,-0.66,-1.39,-1.05,-1.77,-0.56,0.97,1.00,-0.21,0.84,-0.68,-0.73
261_01,0,0,0,1,0.27,-1.28,0.13,-1.01,-0.67,0.88,1.29,0.47,1.51,-0.95,-0.20
261_02,0,0,0,0,1.44,-1.46,-0.99,-1.43,-0.72,0.97,1.18,-0.07,1.41,-1.03,-0.23
261_03,0,0,0,0,1.22,-1.46,-0.52,-1.18,-0.67,0.97,1.22,0.20,1.51,-1.11,-0.28
261_04,0,0,0,0,-0.07,-1.35,1.20,-0.34,-0.61,0.88,1.39,1.15,1.70,-1.19,-0.31
261_05,0,0,0,0,-0.83,-1.65,0.55,-0.59,-0.67,0.88,1.36,0.88,1.70,-1.27,-0.25
261_06,0,0,0,0,-0.36,-1.35,-0.81,-1.09,-0.61,0.97,1.07,0.06,1.70,-1.35,-0.15
261_07,0,0,0,0,0.04,-0.69,-0.99,-1.01,-0.51,0.97,0.93,-0.07,1.75,-1.42,-0.06
261_08,0,0,0,0,-0.13,-0.32,-2.59,-3.12,-2.15,0.44,0.65,-2.65,2.37,-1.44,-0.02
372_01,0,0,.,.,-0.23,1.08,-2.65,-2.95,-0.08,-1.43,-1.47,-3.73,2.22,-1.44,-0.05
372_02,0,0,0,0,-0.16,0.56,-2.70,-2.95,-0.24,-1.70,-1.40,-3.73,2.27,-1.44,0.04
372_03,0,0,0,0,-0.50,-1.17,-2.53,-2.78,-0.83,-0.72,-0.90,-3.32,2.42,-1.44,0.15
372_04,0,0,0,0,-0.58,-1.06,-2.53,-2.70,-0.88,-1.08,-0.83,-3.46,2.51,-1.44,0.27
372_05,0,0,0,0,-0.35,-1.13,-2.29,-2.44,-0.77,-0.72,-0.87,-3.19,2.51,-1.44,0.39
372_06,0,.,.,.,-0.53,-1.50,-1.82,-2.11,-0.88,-0.45,-0.59,-2.65,2.56,-1.44,0.47
372_07,0,0,0,0,-0.86,-1.46,0.72,0.84,0.92,0.88,-0.09,1.01,1.94,-1.40,0.54
372_08,0,0,0,0,-0.93,-0.84,0.49,0.51,1.03,0.88,-0.30,0.74,1.94,-1.35,0.63
372_09,0,0,.,.,-0.94,-0.43,0.49,0.42,1.08,0.88,-0.51,0.61,1.94,-1.33,0.68
372_10,0,0,1,0,-0.83,-1.24,0.78,0.42,1.03,0.88,-0.34,0.88,1.89,-1.27,0.69
372_11,0,0,0,.,-0.91,-1.39,0.67,0.25,0.98,0.88,-0.23,0.74,1.94,-1.23,0.73
373_07,0,0,.,.,0.94,-0.65,-1.23,-1.01,0.50,0.79,-0.44,-0.75,2.42,-1.43,1.46
378_01,0,0,0,0,-0.74,-0.43,-0.40,-0.34,1.08,0.88,-0.62,0.06,0.84,-1.21,-1.24
378_02,0,0,0,0,-0.92,-1.43,-0.10,-0.17,0.92,0.88,-0.27,0.33,0.88,-1.15,-1.10
378_03,0,0,0,0,-0.72,-0.95,-0.28,-0.25,1.03,0.88,-0.55,0.06,0.88,-1.10,-0.97
378_04,0,0,0,0,-0.42,0.05,-0.46,-0.34,1.24,0.88,-1.01,-0.21,0.88,-1.08,-0.85
378_05,0,0,.,.,-0.28,1.08,-0.75,-0.42,1.45,0.79,-1.33,-0.48,0.84,-1.07,-0.76
378_06,0,0,0,0,-0.44,1.01,-0.52,-0.34,1.40,0.79,-1.26,-0.34,0.88,-1.05,-0.66
378_07,0,1,.,.,-0.85,0.12,0.07,-0.08,1.29,0.88,-1.01,0.06,0.98,-1.03,-0.56
378_08,0,0,0,0,-0.29,0.08,-0.16,-0.25,1.29,0.88,-1.08,-0.07,0.98,-0.99,-0.47
378_09,0,0,0,0,0.20,-0.62,-0.28,-0.42,1.19,0.88,-0.87,-0.07,1.03,-0.95,-0.34
379_01,0,0,0,0,-0.91,0.34,0.02,-0.76,1.40,0.88,-1.22,-0.21,0.84,-0.69,-0.24
